iter	Logloss
118	0.6362257867
119	0.6359032715
120	0.6355439833
121	0.6349882921
122	0.6344976671
123	0.6339853678
124	0.6334846788
125	0.6331109809
126	0.6328422201
127	0.6326165365
128	0.6320716851
129	0.6317021918
130	0.6312253798
131	0.6309499674
132	0.6306048503
133	0.630302143
134	0.6298765951
135	0.6296082954
136	0.6290858561
137	0.6288071994
138	0.6283183485
139	0.6280328722
140	0.6275757921
141	0.6272960612
142	0.6268017741
143	0.6264327962
144	0.6261542101
145	0.6256844293
146	0.625360357
147	0.6249815375
148	0.6246232964
149	0.6240964952
150	0.6237510254
151	0.6235146213
152	0.6231755805
153	0.6228105903
154	0.6225721354
155	0.6222410699
156	0.6219943848
157	0.6217291233
158	0.6214932888
159	0.6210913303
160	0.6208334256
161	0.6204169813
162	0.6201948351
163	0.6198709744
164	0.6196234158
165	0.6191607476
166	0.6189037218
167	0.6185840766
168	0.6181630154
169	0.6177917643
170	0.6174521105
171	0.617182525
172	0.6166673177
173	0.6161709744
174	0.615916135
175	0.6156661296
176	0.6154231825
177	0.6149409397
178	0.614666748
179	0.614438265
180	0.614187972
181	0.6139469455
182	0.6136476942
183	0.613343278
184	0.6130464355
185	0.6126387912
186	0.6123257867
187	0.6118424425
188	0.6113383247
189	0.611013303
190	0.6107927951
191	0.6105496202
192	0.6103044868
193	0.6101017524
194	0.6098520779
195	0.6094272895
196	0.6091152018
197	0.6088160265
198	0.608511556
199	0.6081944336
200	0.6078763346
201	0.6074732313
202	0.6070429959
203	0.6068307563
204	0.6065030273
205	0.6062831814
206	0.6060710341
207	0.6057669705
208	0.605323074
209	0.6051004232
210	0.6047983073
211	0.6045613553
212	0.6042708062
213	0.6040566135
214	0.6036996528
215	0.6034585612
216	0.6032236003
217	0.6030071886
218	0.6026018175
219	0.6022984321
220	0.6020036675
221	0.6015662381
222	0.6013534071
223	0.6008856283
224	0.6005938422
225	0.6002558702
226	0.600041862
227	0.5997704427
228	0.5995367567
229	0.5993217122
230	0.5990428006
231	0.5988418783
232	0.5986259169
233	0.5983972819
234	0.5981694444
235	0.5979117459
236	0.5976880697
237	0.5974666558
238	0.5971787435
239	0.5970066786
240	0.5966709961
241	0.5964600532
242	0.5961716905
243	0.5958802734
244	0.5956256131
245	0.59520912
246	0.5949787435
247	0.5946584852
248	0.5943552517
249	0.5941490723
250	0.5938239529
251	0.5936429199
252	0.5934297146
253	0.5931580458
254	0.5929364204
255	0.5927247559
256	0.5925097819
257	0.5921142578
258	0.5919184625
259	0.5916979112
260	0.5914947645
261	0.591004069
262	0.5906600911
263	0.5902793783
264	0.5900596354
265	0.5897778917
266	0.5895685655
267	0.5893628689
268	0.5891667914
269	0.5889283746
270	0.588657704
271	0.5884525499
272	0.5881710178
273	0.5879392253
274	0.5877267524
275	0.5874698134
276	0.5872618001
277	0.5870059842
278	0.5867381239
279	0.5864850315
280	0.5860950684
281	0.5858641819
282	0.5856137533
283	0.5854142524
284	0.5850293566
285	0.5848476074
286	0.5845890137
287	0.5843561252
288	0.5838898546
289	0.5837056912
290	0.583361594
291	0.5829908637
292	0.5826965224
293	0.5825042426
294	0.5822930393
295	0.5820926107
296	0.5818879449
297	0.5816457357
298	0.5812923828
299	0.5810512424
300	0.5808520508
301	0.5805013021
302	0.5800557943
303	0.5797366645
304	0.5795230469
305	0.579305523
306	0.579110536
307	0.5788638563
308	0.5786329861
309	0.5784143012
310	0.5782414008
311	0.5777732205
312	0.5773897135
313	0.5771982585
314	0.5769970649
315	0.5767944444
316	0.5763371582
317	0.5760725694
318	0.5758831706
319	0.5756931207
320	0.5752775065
321	0.575084375
322	0.574752398
323	0.574601633
324	0.5742316189
325	0.5737999295
326	0.5736355469
327	0.573197564
328	0.5728917209
329	0.5726193197
330	0.5722942274
331	0.5720540907
332	0.5717381836
333	0.5715080566
334	0.5713109809
335	0.5711566243
336	0.5710217231
337	0.5708491862
338	0.570689936
339	0.570425727
340	0.5701632378
341	0.5699832791
342	0.5697795898
343	0.5694498806
344	0.5692146756
345	0.5689796984
346	0.5685728841
347	0.5683802843
348	0.5681808268
349	0.5678743652
350	0.5675604601
351	0.5673638346
352	0.5670965441
353	0.5669066189
354	0.5665728895
355	0.5663928928
356	0.5662108995
357	0.5660220052
358	0.5658443631
359	0.5655561469
360	0.5652064833
361	0.565042589
362	0.5648643934
363	0.5644703179
364	0.5641734429
365	0.5640157444
366	0.5638449436
367	0.5637086697
368	0.5635495117
369	0.5633861708
370	0.5630426107
371	0.5628121365
372	0.5626790527
373	0.5624664985
374	0.5622979438
375	0.5619404568
376	0.5617492133
377	0.5615396539
378	0.5611169976
379	0.560938775
380	0.5606734429
381	0.5604890679
382	0.560186952
383	0.559992334
384	0.5598389269
385	0.5596985948
386	0.559513661
387	0.5591963053
388	0.5590446072
389	0.5587594727
390	0.5583727214
391	0.5580300781
392	0.557883214
393	0.5576578342
394	0.5575032172
395	0.5573241862
396	0.5570498264
397	0.5568336317
398	0.5564979492
399	0.556328814
400	0.5561406793
401	0.5559818576
402	0.555605306
403	0.5552224718
404	0.5550556424
405	0.5549009494
406	0.5547129232
407	0.5545482368
408	0.5543704264
409	0.5541608724
410	0.5540059516
411	0.5538331651
412	0.5535249783
413	0.5533735297
414	0.55320625
415	0.5529053006
416	0.5527193902
417	0.5525486816
418	0.5523363661
419	0.5521302463
420	0.5519606988
421	0.5516446832
422	0.5513271267
423	0.5511852919
424	0.551045969
425	0.5508365668
426	0.550500548
427	0.5502962674
428	0.5500338976
429	0.5498417046
430	0.5496285645
431	0.549386518
432	0.5492318793
433	0.5490855252
434	0.5489365289
435	0.5487714138
436	0.5486094781
437	0.5483338542
438	0.5480255859
439	0.5478296332
440	0.5477158257
441	0.5475944553
442	0.5474261502
443	0.5472770182
444	0.5471237793
445	0.5469566786
446	0.5468198513
447	0.5466898166
448	0.546545242
449	0.5463840115
450	0.5460324924
451	0.5458772352
452	0.5456916233
453	0.5454610569
454	0.5451944824
455	0.5450530111
456	0.5448805501
457	0.5447133843
458	0.5445568793
459	0.5443984809
460	0.5442008898
461	0.5440464138
462	0.5438825304
463	0.5435574816
464	0.5434150879
465	0.5432544542
466	0.5430811849
467	0.5429383952
468	0.5428155056
469	0.5426510959
470	0.5423257161
471	0.5422083008
472	0.5420949056
473	0.5419516602
474	0.5417513726
475	0.5415513021
476	0.5414075304
477	0.5412199327
478	0.5409174208
479	0.5407793294
480	0.5405444716
481	0.5404299913
482	0.5402805718
483	0.5401329807
484	0.5400051649
485	0.5397331814
486	0.5394075141
487	0.5390702203
488	0.5389456055
489	0.5388100043
490	0.5386513238
491	0.538497819
492	0.538344694
493	0.5382024685
494	0.5380687554
495	0.5379181966
496	0.5377808594
497	0.5376400065
498	0.5373602376
499	0.5371215278
500	0.5369524577
501	0.5366889486
502	0.5365714464
503	0.5364311523
504	0.5362983073
505	0.5361174913
506	0.5358413466
507	0.5357050727
508	0.5355733724
509	0.5354326389
510	0.5353075141
511	0.5351523383
512	0.5349410048
513	0.5347930013
514	0.5346334581
515	0.5344786838
516	0.5343464464
517	0.5342023112
518	0.5339383409
519	0.5336312174
520	0.5333564453
521	0.5331885742
522	0.5328884277
523	0.5327601562
524	0.532473291
525	0.5323400662
526	0.5321949056
527	0.5320702745
528	0.5319331489
529	0.5317903103
530	0.5316608778
531	0.5315311089
532	0.5313870226
533	0.5312085992
534	0.5310602973
535	0.5309090875
536	0.5307708713
537	0.5306534288
538	0.5305223199
539	0.5304103787
540	0.5302826172
541	0.5301498047
542	0.5298964952
543	0.5297405273
544	0.5295485406
545	0.5294059516
546	0.5292858344
547	0.5290929525
548	0.5288042535
549	0.5286925293
550	0.5285791178
551	0.5283403212
552	0.5282087565
553	0.5280280545
554	0.5278878364
555	0.5277688368
556	0.5276222331
557	0.5273176866
558	0.5271368815
559	0.5268923014
560	0.5267571669
561	0.5266121419
562	0.5264849826
563	0.526315625
564	0.52619088
565	0.5260275282
566	0.5259153754
567	0.5257671332
568	0.525638992
569	0.5254904677
570	0.5253138563
571	0.5251999946
572	0.5250784614
573	0.524863916
574	0.5247324599
575	0.5246243381
576	0.5244904405
577	0.524383355
578	0.5242709961
579	0.5241158366
580	0.5239495931
581	0.5236944716
582	0.5234316352
583	0.5232771756
584	0.523127946
585	0.5229951389
586	0.522812717
587	0.5226068251
588	0.5223806207
589	0.5221473416
590	0.5219950955
591	0.5218591905
592	0.5217248915
593	0.5216282389
594	0.5214954156
595	0.5213731228
596	0.5212167046
597	0.5209675239
598	0.5206760091
599	0.5204946832
600	0.5203398166
601	0.5202289497
602	0.5200770399
603	0.5198882704
604	0.5196915853
605	0.519563775
606	0.5194189724
607	0.5192986979
608	0.5191378472
609	0.5189958062
610	0.5188111708
611	0.5185417806
612	0.518339898
613	0.5181594781
614	0.5180046875
615	0.5177957899
617	0.6671818359
618	0.6671510634
619	0.6671237684
620	0.6670427463
621	0.6670266059
622	0.6669944933
623	0.666957883
624	0.6669350694
625	0.6669003201
626	0.6668501899
627	0.6668350043
628	0.6668024143
629	0.6667703668
630	0.6667324436
631	0.6667007921
632	0.6666802572
633	0.6666567329
634	0.6666290148
635	0.666586084
636	0.6665528917
637	0.6665210178
638	0.666501709
639	0.666451454
640	0.6664340441
641	0.6663950195
642	0.6663692871
643	0.6663323134
644	0.666303814
645	0.6662826986
646	0.6662563477
647	0.6662271701
648	0.6661699978
649	0.6661347928
650	0.6661015734
651	0.6660801541
652	0.6660617567
653	0.6660240506
654	0.6660012044
655	0.6659902778
656	0.6659567763
657	0.6659390788
658	0.6659083008
659	0.6658748318
660	0.6658481934
661	0.6658203071
662	0.6657503581
663	0.665720752
664	0.6656860352
665	0.6656567003
666	0.6656200901
667	0.6655898926
668	0.6655406521
669	0.6655253418
670	0.6654926758
671	0.6654734646
672	0.6654466363
673	0.6654355903
674	0.6654256673
675	0.6654071615
676	0.6653742133
677	0.665347309
678	0.6653027452
679	0.6652728353
680	0.6652290744
681	0.6652134711
682	0.6651911296
683	0.6651627875
684	0.6651302734
685	0.6650950955
686	0.665064426
687	0.6650324924
688	0.6649992893
689	0.664971365
690	0.6649462999
691	0.6648918566
692	0.6648692329
693	0.6648465441
694	0.6648204047
695	0.6647698351
696	0.6647447266
697	0.6647144965
698	0.6646867676
699	0.6646691515
700	0.664636735
701	0.6645914063
702	0.6645333062
703	0.6645079427
704	0.6644842448
705	0.6644537272
706	0.6644087999
707	0.6643685601
708	0.6643314453
709	0.6642873861
710	0.664281033
711	0.6642499946
712	0.6642113444
713	0.6641896267
714	0.6641619249
715	0.664142985
716	0.6641128689
717	0.6640943739
718	0.6640618218
719	0.6640284939
720	0.664009375
721	0.6639839138
722	0.6639281955
723	0.6639015625
724	0.6638717285
725	0.6638363553
726	0.6638096354
727	0.6637750651
728	0.6637462131
729	0.6637025825
730	0.6636534234
731	0.663623801
732	0.6635864692
733	0.663556288
734	0.6635347819
735	0.663513265
736	0.6634717502
737	0.6634458605
738	0.6634249837
739	0.6633909505
740	0.6633595486
741	0.6633348741
742	0.6633218587
743	0.6632600749
744	0.6632437771
745	0.6632172092
746	0.6631858941
747	0.6631455729
748	0.6631144803
749	0.6630967339
750	0.6630754991
751	0.6630486274
752	0.6630170247
753	0.6629997504
754	0.6629743327
755	0.6629515625
756	0.6629234972
757	0.6628954807
758	0.6628797852
759	0.6628676053
760	0.6628466743
761	0.6628174099
762	0.6627824436
763	0.6627381673
764	0.6626967068
765	0.662679324
766	0.662638444
767	0.6626150336
768	0.662590191
769	0.6625698459
770	0.6625511502
771	0.6625104221
772	0.6624812066
773	0.6624686198
774	0.6624455783
775	0.6624156521
776	0.662393533
777	0.6623390842
778	0.6623203885
779	0.6623046387
780	0.6622836697
781	0.6622418023
782	0.6622159071
783	0.6622022949
784	0.662171951
785	0.6621392958
786	0.6621230523
787	0.662093571
788	0.6620641168
789	0.6620347873
790	0.6619513021
791	0.6619080404
792	0.6618808919
793	0.6618325195
794	0.6617998806
795	0.6617713867
796	0.6617123264
797	0.6616909831
798	0.6616531576
799	0.6616282064
800	0.661608355
801	0.6615842936
802	0.6615607802
803	0.6615158095
804	0.6614936252
805	0.661461594
806	0.6614087457
807	0.6613601671
808	0.6613302355
809	0.6613151476
810	0.6612965495
811	0.6612715169
812	0.6612559679
813	0.6612031304
814	0.6611661621
815	0.6611408474
816	0.6611135145
817	0.6610914551
818	0.6610708713
819	0.6610004883
820	0.6609599121
821	0.6609312717
