iter	Passed	Remaining
686	284307	55868
687	284517	55414
688	284880	54991
689	285145	54549
690	285408	54107
691	285701	53672
692	285900	53219
693	286146	52776
694	286440	52342
695	286652	51894
696	286984	51467
697	287210	51023
698	287477	50586
699	287771	50154
700	287952	49703
701	288270	49277
702	288576	48848
703	288793	48405
704	289055	47970
705	289335	47539
706	289613	47108
707	289901	46679
708	290132	46241
709	290378	45806
710	290629	45372
711	290926	44946
712	291196	44516
713	291547	44099
714	291730	43657
715	291988	43227
716	292302	42805
717	292496	42367
718	292792	41943
719	293086	41520
720	293345	41092
721	293623	40668
722	293845	40236
723	294140	39814
724	294446	39394
725	294660	38963
726	294965	38544
727	295232	38120
728	295502	37697
729	295780	37276
730	296009	36849
731	296305	36430
732	296596	36012
733	296807	35584
734	297059	35162
735	297358	34745
736	297642	34327
737	297933	33911
738	298137	33484
739	298408	33066
740	298684	32649
741	298889	32225
742	299164	31808
743	299476	31396
744	299701	30975
745	300017	30564
746	300250	30145
747	300503	29728
748	300758	29312
749	301027	28898
750	301259	28481
751	301552	28070
752	301784	27653
753	302042	27239
754	302339	26830
755	302552	26413
756	302933	26011
757	303170	25597
758	303474	25189
759	303750	24779
760	304016	24369
761	304315	23961
762	304611	23554
763	304896	23146
764	305218	22741
765	305457	22331
766	305714	21922
767	305997	21515
768	306247	21106
769	306544	20701
770	306915	20301
771	307132	19892
772	307461	19489
773	307747	19085
774	307963	18676
775	308289	18274
776	308537	17868
777	308802	17464
778	309059	17059
779	309292	16654
780	309544	16250
781	309816	15847
782	310046	15442
783	310288	15039
784	310558	14637
785	310801	14235
786	311046	13833
787	311353	13434
788	311616	13033
789	311907	12634
790	312219	12236
791	312441	11834
792	312727	11436
793	312999	11037
794	313225	10637
795	313508	10240
796	313805	9843
797	313982	9443
798	314237	9045
799	314520	8649
800	314698	8250
801	314983	7854
802	315237	7458
803	315438	7062
804	315720	6667
805	316017	6273
806	316241	5878
807	316516	5484
808	316850	5091
809	317052	4697
810	317308	4303
811	317612	3911
812	317800	3518
813	318097	3126
814	318421	2734
815	318636	2342
816	318948	1951
817	319212	1560
818	319451	1170
819	319929	780
820	320135	389
821	320377	0
